Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
343208;1000390865927710300;63759448350074;(0.256, 1.142, -1.008);(0.030, 0.229, -0.023, 0.973);VALID;(0.002, -0.039, 0.999);(0.000, 0.000, 0.000);VALID;(0.018, -0.059, 0.998);(-0.032, 0.000, 0.000);0.209637;VALID;(-0.016, -0.013, 1.000);(0.032, 0.000, 0.000);0.2172701;0.6584152;0.07260812
343209;1000390865937829300;63759448350091;(0.256, 1.142, -1.008);(0.029, 0.229, -0.023, 0.973);VALID;(0.001, -0.038, 0.999);(0.000, 0.000, 0.000);VALID;(0.017, -0.059, 0.998);(-0.032, 0.000, 0.000);0.2079601;VALID;(-0.016, -0.012, 1.000);(0.032, 0.000, 0.000);0.2171995;0.653366;0.06902923
343210;1000390865947714900;63759448350091;(0.256, 1.142, -1.008);(0.029, 0.229, -0.023, 0.973);VALID;(0.001, -0.037, 0.999);(0.000, 0.000, 0.000);VALID;(0.017, -0.059, 0.998);(-0.032, 0.000, 0.000);0.2079771;VALID;(-0.016, -0.012, 1.000);(0.032, 0.000, 0.000);0.2172451;0.649619;0.07286519
343211;1000390865957849500;63759448350108;(0.256, 1.142, -1.009);(0.029, 0.230, -0.023, 0.973);VALID;(0.001, -0.037, 0.999);(0.000, 0.000, 0.000);VALID;(0.016, -0.059, 0.998);(-0.032, 0.000, 0.000);0.2077876;VALID;(-0.016, -0.012, 1.000);(0.032, 0.000, 0.000);0.2174611;0.645328;0.07432079
343212;1000390865967835400;63759448350124;(0.256, 1.142, -1.009);(0.029, 0.230, -0.023, 0.973);VALID;(0.001, -0.038, 0.999);(0.000, 0.000, 0.000);VALID;(0.016, -0.062, 0.998);(-0.032, 0.000, 0.000);0.1978263;VALID;(-0.016, -0.012, 1.000);(0.032, 0.000, 0.000);0.2175203;0.5916277;0
343213;1000390865977853800;63759448350124;(0.256, 1.142, -1.009);(0.029, 0.230, -0.023, 0.973);VALID;(0.001, -0.039, 0.999);(0.000, 0.000, 0.000);VALID;(0.017, -0.063, 0.998);(-0.032, 0.000, 0.000);0.197602;VALID;(-0.016, -0.012, 1.000);(0.032, 0.000, 0.000);0.2174971;0.56239;0
343214;1000390865987854700;63759448350142;(0.256, 1.142, -1.009);(0.028, 0.230, -0.023, 0.972);VALID;(0.001, -0.039, 0.999);(0.000, 0.000, 0.000);VALID;(0.017, -0.065, 0.998);(-0.032, 0.000, 0.000);0.1977061;VALID;(-0.016, -0.011, 1.000);(0.032, 0.000, 0.000);0.2173003;0.545781;0
343215;1000390865997915700;63759448350142;(0.256, 1.142, -1.009);(0.028, 0.230, -0.023, 0.972);VALID;(-0.002, -0.040, 0.999);(0.000, 0.000, 0.000);VALID;(0.008, -0.067, 0.998);(-0.032, 0.000, 0.000);0.1982151;VALID;(-0.016, -0.011, 1.000);(0.032, 0.000, 0.000);0.2172445;0.418142;0
343216;1000390866007853000;63759448350159;(0.256, 1.142, -1.009);(0.028, 0.230, -0.024, 0.972);VALID;(-0.002, -0.041, 0.999);(0.000, 0.000, 0.000);VALID;(0.010, -0.071, 0.997);(-0.032, 0.000, 0.000);0.1950391;VALID;(-0.016, -0.011, 1.000);(0.032, 0.000, 0.000);0.2169956;0.3881038;0
343217;1000390866017969000;63759448350174;(0.256, 1.142, -1.009);(0.027, 0.230, -0.024, 0.972);VALID;(0.000, -0.045, 0.999);(0.000, 0.000, 0.000);VALID;(0.012, -0.077, 0.997);(-0.032, 0.000, 0.000);0.1908874;VALID;(-0.014, -0.014, 1.000);(0.032, 0.000, 0.000);0.2053674;0.3672244;0
343218;1000390866027977900;63759448350174;(0.256, 1.142, -1.009);(0.027, 0.230, -0.024, 0.972);VALID;(0.001, -0.048, 0.999);(0.000, 0.000, 0.000);VALID;(0.014, -0.079, 0.997);(-0.032, 0.000, 0.000);0.190062;VALID;(-0.013, -0.018, 1.000);(0.032, 0.000, 0.000);0.2057703;0.3790182;0
343219;1000390866037986300;63759448350192;(0.256, 1.142, -1.009);(0.027, 0.230, -0.024, 0.972);VALID;(0.004, -0.051, 0.999);(0.000, 0.000, 0.000);VALID;(0.018, -0.082, 0.996);(-0.032, 0.000, 0.000);0.1939645;VALID;(-0.011, -0.022, 1.000);(0.032, 0.000, 0.000);0.2063913;0.4212581;0
343220;1000390866047969700;63759448350192;(0.256, 1.142, -1.009);(0.027, 0.230, -0.024, 0.972);VALID;(0.007, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.023, -0.082, 0.996);(-0.032, 0.000, 0.000);0.1939736;VALID;(-0.008, -0.024, 1.000);(0.032, 0.000, 0.000);0.2074352;0.4558909;0
343221;1000390866057970000;63759448350209;(0.256, 1.142, -1.009);(0.027, 0.230, -0.023, 0.973);VALID;(0.010, -0.056, 0.998);(0.000, 0.000, 0.000);VALID;(0.028, -0.084, 0.996);(-0.032, 0.000, 0.000);0.1930219;VALID;(-0.006, -0.029, 1.000);(0.032, 0.000, 0.000);0.2079315;0.5282364;0
343222;1000390866068043200;63759448350209;(0.256, 1.142, -1.009);(0.027, 0.230, -0.023, 0.973);VALID;(0.013, -0.060, 0.998);(0.000, 0.000, 0.000);VALID;(0.032, -0.087, 0.996);(-0.032, 0.000, 0.000);0.193435;VALID;(-0.005, -0.033, 0.999);(0.032, 0.000, 0.000);0.2088511;0.5604027;0
343223;1000390866077964800;63759448350225;(0.256, 1.142, -1.009);(0.027, 0.230, -0.023, 0.973);VALID;(0.016, -0.062, 0.998);(0.000, 0.000, 0.000);VALID;(0.036, -0.089, 0.995);(-0.032, 0.000, 0.000);0.1932589;VALID;(-0.004, -0.036, 0.999);(0.032, 0.000, 0.000);0.2092373;0.5810274;0
343224;1000390866088088500;63759448350241;(0.256, 1.142, -1.009);(0.027, 0.229, -0.023, 0.973);VALID;(0.018, -0.064, 0.998);(0.000, 0.000, 0.000);VALID;(0.038, -0.091, 0.995);(-0.032, 0.000, 0.000);0.1934053;VALID;(-0.002, -0.038, 0.999);(0.032, 0.000, 0.000);0.209387;0.5967922;0
343225;1000390866098081600;63759448350241;(0.256, 1.142, -1.009);(0.027, 0.229, -0.023, 0.973);VALID;(0.019, -0.067, 0.998);(0.000, 0.000, 0.000);VALID;(0.040, -0.094, 0.995);(-0.032, 0.000, 0.000);0.1929331;VALID;(-0.001, -0.040, 0.999);(0.032, 0.000, 0.000);0.2094388;0.5801086;0
343226;1000390866108095600;63759448350260;(0.255, 1.142, -1.009);(0.027, 0.229, -0.023, 0.973);VALID;(0.021, -0.068, 0.997);(0.000, 0.000, 0.000);VALID;(0.042, -0.096, 0.995);(-0.032, 0.000, 0.000);0.1937557;VALID;(0.000, -0.040, 0.999);(0.032, 0.000, 0.000);0.2097962;0.5501671;0
343227;1000390866118072000;63759448350260;(0.255, 1.142, -1.009);(0.027, 0.229, -0.023, 0.973);VALID;(0.022, -0.069, 0.997);(0.000, 0.000, 0.000);VALID;(0.043, -0.098, 0.994);(-0.032, 0.000, 0.000);0.1929067;VALID;(0.001, -0.040, 0.999);(0.032, 0.000, 0.000);0.2102107;0.5270482;0
343229;1000390866138108500;63759448350278;(0.255, 1.142, -1.009);(0.028, 0.229, -0.023, 0.973);VALID;(0.022, -0.070, 0.997);(0.000, 0.000, 0.000);VALID;(0.043, -0.101, 0.994);(-0.032, 0.000, 0.000);0.1877363;VALID;(0.001, -0.039, 0.999);(0.032, 0.000, 0.000);0.2136593;0.4787905;0
343230;1000390866148209400;63759448350291;(0.255, 1.142, -1.009);(0.028, 0.228, -0.024, 0.973);VALID;(0.022, -0.070, 0.997);(0.000, 0.000, 0.000);VALID;(0.044, -0.104, 0.994);(-0.032, 0.000, 0.000);0.1893731;VALID;(0.001, -0.038, 0.999);(0.032, 0.000, 0.000);0.2136341;0.4488197;0
343231;1000390866158229400;63759448350308;(0.255, 1.142, -1.009);(0.028, 0.228, -0.024, 0.973);VALID;(0.022, -0.071, 0.997);(0.000, 0.000, 0.000);VALID;(0.044, -0.106, 0.993);(-0.032, 0.000, 0.000);0.1898651;VALID;(0.001, -0.038, 0.999);(0.032, 0.000, 0.000);0.2131461;0.4275493;0
